"Step","3i_350M_asura_ - Bench/LAMBADA_ppl","3i_350M_asura_ - Bench/LAMBADA_ppl__MIN","3i_350M_asura_ - Bench/LAMBADA_ppl__MAX","350M_baseline_QK_3eps - Bench/LAMBADA_ppl","350M_baseline_QK_3eps - Bench/LAMBADA_ppl__MIN","350M_baseline_QK_3eps - Bench/LAMBADA_ppl__MAX"
"0","49219.55026623169","49219.55026623169","49219.55026623169","49354.0535112178","49354.0535112178","49354.0535112178"
"1400","2785.629763114512","2785.629763114512","2785.629763114512","","",""
"1500","","","","841.135864167631","841.135864167631","841.135864167631"
"2800","626.3019047540112","626.3019047540112","626.3019047540112","","",""
"3000","","","","229.1948867550483","229.1948867550483","229.1948867550483"
"4200","285.6971238992288","285.6971238992288","285.6971238992288","","",""
"4500","","","","148.52883745459013","148.52883745459013","148.52883745459013"
"5600","169.69130994224614","169.69130994224614","169.69130994224614","","",""
"6000","","","","88.64446814627254","88.64446814627254","88.64446814627254"
"7000","117.66257895066171","117.66257895066171","117.66257895066171","","",""
"7500","","","","87.71908073663401","87.71908073663401","87.71908073663401"
"8400","89.31834531421661","89.31834531421661","89.31834531421661","","",""
"9000","","","","72.03306608335355","72.03306608335355","72.03306608335355"
"9800","68.61449745437831","68.61449745437831","68.61449745437831","","",""
"10500","","","","65.93711503244036","65.93711503244036","65.93711503244036"
"11200","63.642065410545534","63.642065410545534","63.642065410545534","","",""
"12000","","","","55.62876234815743","55.62876234815743","55.62876234815743"
"12600","49.38422481985667","49.38422481985667","49.38422481985667","","",""
"13500","","","","47.05522141549427","47.05522141549427","47.05522141549427"
"14000","55.431267915609965","55.431267915609965","55.431267915609965","","",""
"15000","","","","51.82684503716208","51.82684503716208","51.82684503716208"
"15400","57.27714965812969","57.27714965812969","57.27714965812969","","",""
"16500","","","","47.476289408454576","47.476289408454576","47.476289408454576"
"16800","39.18315255857464","39.18315255857464","39.18315255857464","","",""
"18000","","","","52.22707259030717","52.22707259030717","52.22707259030717"
"18200","37.4265020840448","37.4265020840448","37.4265020840448","","",""
"19500","","","","52.899949230697324","52.899949230697324","52.899949230697324"
"19600","40.18254768055137","40.18254768055137","40.18254768055137","","",""
"21000","38.295900689810026","38.295900689810026","38.295900689810026","37.08092534725134","37.08092534725134","37.08092534725134"
"22400","34.3448494973431","34.3448494973431","34.3448494973431","","",""
"22500","","","","39.7159241267868","39.7159241267868","39.7159241267868"
"23800","34.50366008390223","34.50366008390223","34.50366008390223","","",""
"24000","","","","41.00972504911098","41.00972504911098","41.00972504911098"
"25200","32.93499916143477","32.93499916143477","32.93499916143477","","",""
"25500","","","","39.89481702365958","39.89481702365958","39.89481702365958"
"26600","31.05127801794512","31.05127801794512","31.05127801794512","","",""
"27000","","","","39.199305462059165","39.199305462059165","39.199305462059165"
"28000","28.956841523607004","28.956841523607004","28.956841523607004","","",""
"28500","","","","35.403899251711074","35.403899251711074","35.403899251711074"
"29400","32.638514855938375","32.638514855938375","32.638514855938375","","",""
"30000","","","","39.76917449926105","39.76917449926105","39.76917449926105"
"30800","28.628112255582213","28.628112255582213","28.628112255582213","","",""
"31500","","","","37.93511828409559","37.93511828409559","37.93511828409559"
"32200","29.53486587789273","29.53486587789273","29.53486587789273","","",""
"33000","","","","30.032908762513756","30.032908762513756","30.032908762513756"
"33600","28.949050710738575","28.949050710738575","28.949050710738575","","",""
"34500","","","","33.21560321568311","33.21560321568311","33.21560321568311"
"35000","31.67130176710468","31.67130176710468","31.67130176710468","","",""
"36000","","","","28.893861478620114","28.893861478620114","28.893861478620114"
"36400","27.783532009773634","27.783532009773634","27.783532009773634","","",""
"37500","","","","28.61191046226487","28.61191046226487","28.61191046226487"
"37800","24.576079791962165","24.576079791962165","24.576079791962165","","",""
"39000","","","","35.65395365263344","35.65395365263344","35.65395365263344"
"39200","23.93407181215586","23.93407181215586","23.93407181215586","","",""
"40500","","","","26.71980304153589","26.71980304153589","26.71980304153589"
"40600","26.419520296413115","26.419520296413115","26.419520296413115","","",""
"42000","28.602785102608767","28.602785102608767","28.602785102608767","29.86213253223958","29.86213253223958","29.86213253223958"
"43400","27.684672972361568","27.684672972361568","27.684672972361568","","",""
"43500","","","","29.390504970272538","29.390504970272538","29.390504970272538"
"44800","26.754728528309805","26.754728528309805","26.754728528309805","","",""
"45000","","","","30.173054189762215","30.173054189762215","30.173054189762215"
"46200","27.31046616944901","27.31046616944901","27.31046616944901","","",""
"46500","","","","30.082375999841812","30.082375999841812","30.082375999841812"
"47600","22.368282917922375","22.368282917922375","22.368282917922375","","",""
"48000","","","","34.29229511424352","34.29229511424352","34.29229511424352"
"49000","26.810969896286625","26.810969896286625","26.810969896286625","","",""
"49500","","","","30.644986067458717","30.644986067458717","30.644986067458717"
"50400","25.898705422252746","25.898705422252746","25.898705422252746","","",""
