"Step","3i_350M_DeepSup - Bench/LAMBADA_ppl","3i_350M_DeepSup - Bench/LAMBADA_ppl__MIN","3i_350M_DeepSup - Bench/LAMBADA_ppl__MAX","base_350m_fixed - Bench/LAMBADA_ppl","base_350m_fixed - Bench/LAMBADA_ppl__MIN","base_350m_fixed - Bench/LAMBADA_ppl__MAX"
"0","49834.66654664693","49834.66654664693","49834.66654664693","49841.31580317362","49841.31580317362","49841.31580317362"
"1500","2866.9711705643767","2866.9711705643767","2866.9711705643767","887.3327192426756","887.3327192426756","887.3327192426756"
"3000","469.2753777833431","469.2753777833431","469.2753777833431","228.031488238334","228.031488238334","228.031488238334"
"4500","222.7554080849265","222.7554080849265","222.7554080849265","146.20266506158234","146.20266506158234","146.20266506158234"
"6000","111.66419960752523","111.66419960752523","111.66419960752523","131.72814203438298","131.72814203438298","131.72814203438298"
"7500","110.24695555854379","110.24695555854379","110.24695555854379","100.6867248277999","100.6867248277999","100.6867248277999"
"9000","88.28152720353572","88.28152720353572","88.28152720353572","71.90938111375137","71.90938111375137","71.90938111375137"
"10500","65.60785579158603","65.60785579158603","65.60785579158603","71.57394595385516","71.57394595385516","71.57394595385516"
"12000","64.02429592455798","64.02429592455798","64.02429592455798","61.39445943055907","61.39445943055907","61.39445943055907"
"13500","47.583539789986176","47.583539789986176","47.583539789986176","61.38795013458503","61.38795013458503","61.38795013458503"
"15000","62.08298785071622","62.08298785071622","62.08298785071622","70.22002511727183","70.22002511727183","70.22002511727183"
"16500","50.14867437940876","50.14867437940876","50.14867437940876","57.84496534683724","57.84496534683724","57.84496534683724"
"18000","36.96038718552785","36.96038718552785","36.96038718552785","50.64803269628827","50.64803269628827","50.64803269628827"
"19500","40.55121619684875","40.55121619684875","40.55121619684875","47.143276329366884","47.143276329366884","47.143276329366884"
"21000","45.04764027675108","45.04764027675108","45.04764027675108","54.69854779685988","54.69854779685988","54.69854779685988"
"22500","35.75570971375264","35.75570971375264","35.75570971375264","46.46497040944627","46.46497040944627","46.46497040944627"
"24000","40.72475409770077","40.72475409770077","40.72475409770077","36.076869219235434","36.076869219235434","36.076869219235434"
"25500","37.8813521282012","37.8813521282012","37.8813521282012","45.190247531857885","45.190247531857885","45.190247531857885"
"27000","45.49531169607982","45.49531169607982","45.49531169607982","51.88447824756834","51.88447824756834","51.88447824756834"
"28500","42.434218610375346","42.434218610375346","42.434218610375346","46.49675291315193","46.49675291315193","46.49675291315193"
"30000","31.102709041104422","31.102709041104422","31.102709041104422","45.20503476343625","45.20503476343625","45.20503476343625"
"31500","27.823163753899244","27.823163753899244","27.823163753899244","44.9557494742765","44.9557494742765","44.9557494742765"
"33000","28.986681558737363","28.986681558737363","28.986681558737363","40.10322239948378","40.10322239948378","40.10322239948378"
"34500","33.48887807326485","33.48887807326485","33.48887807326485","46.606569908823765","46.606569908823765","46.606569908823765"
"36000","28.636809407573374","28.636809407573374","28.636809407573374","38.0202539745238","38.0202539745238","38.0202539745238"
"37500","34.38967662026282","34.38967662026282","34.38967662026282","32.852207519089944","32.852207519089944","32.852207519089944"
"39000","29.77418965319556","29.77418965319556","29.77418965319556","35.55241937815705","35.55241937815705","35.55241937815705"
"40500","27.58843259263696","27.58843259263696","27.58843259263696","45.969734400880355","45.969734400880355","45.969734400880355"
"42000","27.016721812772758","27.016721812772758","27.016721812772758","38.78538779567904","38.78538779567904","38.78538779567904"
"43500","31.05766129400094","31.05766129400094","31.05766129400094","38.673106352938085","38.673106352938085","38.673106352938085"
"45000","27.405411625200045","27.405411625200045","27.405411625200045","35.73090795061427","35.73090795061427","35.73090795061427"
"46500","26.877395713945678","26.877395713945678","26.877395713945678","32.997641270168046","32.997641270168046","32.997641270168046"
"48000","25.745211623788343","25.745211623788343","25.745211623788343","37.55656745811469","37.55656745811469","37.55656745811469"
"49500","29.2948129576552","29.2948129576552","29.2948129576552","40.55793091973461","40.55793091973461","40.55793091973461"
"51000","29.817813456860577","29.817813456860577","29.817813456860577","31.09362519445378","31.09362519445378","31.09362519445378"
"52500","24.728800592772128","24.728800592772128","24.728800592772128","32.257014097543035","32.257014097543035","32.257014097543035"
"54000","24.952036335579557","24.952036335579557","24.952036335579557","33.55577450011141","33.55577450011141","33.55577450011141"
"55500","23.776719468101376","23.776719468101376","23.776719468101376","32.11879505302554","32.11879505302554","32.11879505302554"
"57000","26.195980902223727","26.195980902223727","26.195980902223727","33.341207569134916","33.341207569134916","33.341207569134916"
"58500","28.18046250405557","28.18046250405557","28.18046250405557","27.710352961415246","27.710352961415246","27.710352961415246"
"61500","25.976306206048033","25.976306206048033","25.976306206048033","36.14663454227139","36.14663454227139","36.14663454227139"
"63000","25.549040591244655","25.549040591244655","25.549040591244655","30.120933033899917","30.120933033899917","30.120933033899917"
"64500","25.211999682295176","25.211999682295176","25.211999682295176","32.48284266352296","32.48284266352296","32.48284266352296"
"66000","23.176965827421228","23.176965827421228","23.176965827421228","32.82363562141743","32.82363562141743","32.82363562141743"
"67500","22.764961296900786","22.764961296900786","22.764961296900786","34.41951783564156","34.41951783564156","34.41951783564156"
"69000","27.59846366907045","27.59846366907045","27.59846366907045","31.658771224380505","31.658771224380505","31.658771224380505"
