"Step","3i_350M_DeepSup - Train/cum_loss","3i_350M_DeepSup - Train/cum_loss__MIN","3i_350M_DeepSup - Train/cum_loss__MAX"
"0","10.750580787658691","10.750580787658691","10.750580787658691"
"1500","3.7364258766174316","3.7364258766174316","3.7364258766174316"
"3000","2.81282639503479","2.81282639503479","2.81282639503479"
"4500","2.544705390930176","2.544705390930176","2.544705390930176"
"6000","2.42934250831604","2.42934250831604","2.42934250831604"
"7500","2.3762598037719727","2.3762598037719727","2.3762598037719727"
"9000","2.3503575325012207","2.3503575325012207","2.3503575325012207"
"10500","2.2642006874084473","2.2642006874084473","2.2642006874084473"
"12000","2.2547073364257812","2.2547073364257812","2.2547073364257812"
"13500","2.2374541759490967","2.2374541759490967","2.2374541759490967"
"15000","2.2133705615997314","2.2133705615997314","2.2133705615997314"
"16500","2.200368881225586","2.200368881225586","2.200368881225586"
"18000","2.2143890857696533","2.2143890857696533","2.2143890857696533"
"19500","2.202838182449341","2.202838182449341","2.202838182449341"
"21000","2.1841351985931396","2.1841351985931396","2.1841351985931396"
"22500","2.186415195465088","2.186415195465088","2.186415195465088"
"24000","2.1476495265960693","2.1476495265960693","2.1476495265960693"
"25500","2.16717267036438","2.16717267036438","2.16717267036438"
"27000","2.1521248817443848","2.1521248817443848","2.1521248817443848"
"28500","2.119065284729004","2.119065284729004","2.119065284729004"
"30000","2.1477012634277344","2.1477012634277344","2.1477012634277344"
"31500","2.1258041858673096","2.1258041858673096","2.1258041858673096"
"33000","2.1359176635742188","2.1359176635742188","2.1359176635742188"
"34500","2.1183388233184814","2.1183388233184814","2.1183388233184814"
"36000","2.137850284576416","2.137850284576416","2.137850284576416"
"37500","2.1126136779785156","2.1126136779785156","2.1126136779785156"
"39000","2.1331610679626465","2.1331610679626465","2.1331610679626465"
"40500","2.145817518234253","2.145817518234253","2.145817518234253"
"42000","2.0886683464050293","2.0886683464050293","2.0886683464050293"
"43500","2.087998867034912","2.087998867034912","2.087998867034912"
"45000","2.096634864807129","2.096634864807129","2.096634864807129"
"46500","2.112722158432007","2.112722158432007","2.112722158432007"
"48000","2.1016016006469727","2.1016016006469727","2.1016016006469727"
"49500","2.1035003662109375","2.1035003662109375","2.1035003662109375"
"51000","2.072632312774658","2.072632312774658","2.072632312774658"
"52500","2.0977721214294434","2.0977721214294434","2.0977721214294434"
"54000","2.09727144241333","2.09727144241333","2.09727144241333"
"55500","2.1101295948028564","2.1101295948028564","2.1101295948028564"
"57000","2.0588603019714355","2.0588603019714355","2.0588603019714355"
"58500","2.0857889652252197","2.0857889652252197","2.0857889652252197"
"61500","2.0900869369506836","2.0900869369506836","2.0900869369506836"
"63000","2.0651392936706543","2.0651392936706543","2.0651392936706543"
"64500","2.11086106300354","2.11086106300354","2.11086106300354"
"66000","2.0611655712127686","2.0611655712127686","2.0611655712127686"
"67500","2.0670006275177","2.0670006275177","2.0670006275177"
"69000","2.0922296047210693","2.0922296047210693","2.0922296047210693"
"70500","2.10868763923645","2.10868763923645","2.10868763923645"
"72000","2.0493953227996826","2.0493953227996826","2.0493953227996826"
"73500","2.053870916366577","2.053870916366577","2.053870916366577"
"75000","2.06492018699646","2.06492018699646","2.06492018699646"
"76500","2.0462381839752197","2.0462381839752197","2.0462381839752197"
"78000","2.042081832885742","2.042081832885742","2.042081832885742"
"79500","2.0739352703094482","2.0739352703094482","2.0739352703094482"
"81000","2.0767648220062256","2.0767648220062256","2.0767648220062256"
"82500","2.04248046875","2.04248046875","2.04248046875"
"84000","2.077648878097534","2.077648878097534","2.077648878097534"
"85500","2.0589301586151123","2.0589301586151123","2.0589301586151123"
"87000","2.063936471939087","2.063936471939087","2.063936471939087"
"88500","2.080730438232422","2.080730438232422","2.080730438232422"
